,ResTimePre,equiv_pldnPre,conc_dfnbPre,temperaturePre,ResTimePreb,equiv_pldnPreb,conc_dfnbPreb,temperaturePreb,ResTimePost,equiv_pldnPost,conc_dfnbPost,temperaturePost,STYPre,EFactorPre,STYPreb,EFactorPreb,STYPost,EFactorPost,itterTimePre,itterTimePreb,itterTimePost,,hypervolumePre,hypervolumePreb,hypervolumePost
0,0.935266331,2.98071754,0.480790305,30.04196266,0.935266331,2.98071754,0.480790305,30.04196266,0.935266331,2.98071754,0.480790305,30.04196266,0.020087141,0.004082275,0.020087141,0.004082275,0.020087141,0.004082275,0,0,0,0,0,0,0
1,1.469594527,3.002352752,0.256871226,79.93791469,1.469594527,3.002352752,0.256871226,79.93791469,1.469594527,3.002352752,0.256871226,79.93791469,0.045239703,0.015796876,0.045239703,0.015796876,0.045239703,0.015796876,0,0,0,1,4.92E-05,4.92E-05,4.92E-05
2,1.877592977,1.202458501,0.310646362,63.93177758,1.877592977,1.202458501,0.310646362,63.93177758,1.877592977,1.202458501,0.310646362,63.93177758,0.005327751,0.002431035,0.005327751,0.002431035,0.005327751,0.002431035,0,0,0,2,0.000543556,0.000543556,0.000543556
3,0.524372785,4.782687157,0.126569615,113.8716761,0.524372785,4.782687157,0.126569615,113.8716761,0.524372785,4.782687157,0.126569615,113.8716761,0.048954799,0.006332227,0.048954799,0.006332227,0.048954799,0.006332227,0,0,0,3,0.000543556,0.000543556,0.000543556
4,0.841639,1.902476069,0.230566772,101.5004797,0.841639,1.902476069,0.230566772,101.5004797,0.841639,1.902476069,0.230566772,101.5004797,0.049889829,0.010300889,0.049889829,0.010300889,0.049889829,0.010300889,0,0,0,4,0.00068864,0.00068864,0.00068864
5,1.211686697,3.123146661,0.228723975,91.29349247,1.259852851,3.621172354,0.205821322,97.73213411,0.5,2.739274652,0.1,59.80137851,0.050762794,0.014756853,0.061133652,0.018508569,0.006631792,0.000845518,1.781,1.312,1.797,5,0.00068864,0.00068864,0.00068864
6,1.410225473,3.376046643,0.276653324,98.72781186,1.416316408,3.899806378,0.250391846,110.4783861,0.5,2.762584476,0.34845257,118.548692,0.086003808,0.028346057,0.10092657,0.033451158,0.204015393,0.023489234,2,1.907,1.61,6,0.000770888,0.001006362,0.00068864
7,1.468373853,3.560358227,0.296400712,105.2097983,1.510942972,4.114271205,0.273921926,119.3501119,0.5,2.746953967,0.397845277,120,0.120274222,0.040742779,0.139854786,0.048667827,0.259775985,0.029358666,3.032,1.921,1.797,7,0.002530243,0.003872371,0.005464125
8,1.539060642,3.775164026,0.318489419,112.3328245,1.627269435,4.386584004,0.301106572,120,0.5,2.568754935,0.448138093,120,0.136287858,0.047659103,0.166982061,0.061363989,0.295907762,0.033010969,3.25,2.282,1.422,8,0.004575113,0.006885058,0.008962393
9,1.692867494,3.914636709,0.29549994,117.2695305,1.743875835,4.748977178,0.323769513,120,0.5,2.941372077,0.498631248,120,0.141484224,0.054829498,0.172233462,0.066471204,0.430607278,0.046532984,3.843,2.719,1.656,9,0.007739685,0.009208571,0.011192151
10,1.826297391,4.280489769,0.309402098,112.9120518,1.681672166,4.520516371,0.372010863,120,0.5,3.361839271,0.5,120,0.141617944,0.05830969,0.21478337,0.078455664,0.513121132,0.054582482,4.266,2.547,2.187,10,0.00792844,0.011115951,0.021646454
11,1.955569612,3.922618637,0.332479602,117.9995624,1.625000165,4.358617532,0.419893499,120,0.5,3.858696514,0.5,120,0.144754403,0.063667282,0.237949717,0.082440399,0.589532394,0.061609107,3.625,2.594,1.562,11,0.008519608,0.0150927,0.028536449
12,2,4.298415455,0.371953711,120,1.80994783,4.137859657,0.448521729,120,0.5,4.522610937,0.5,120,0.172504135,0.075399503,0.229993503,0.088181802,0.686134163,0.070060117,2.735,2.922,2.063,12,0.009603527,0.019747063,0.036172594
13,2,4.675581682,0.423834877,120,1.72417504,4.662007333,0.493435248,120,0.5,5,0.5,120,0.212413552,0.089540657,0.28608061,0.100561086,0.708078123,0.071127906,2.735,2.656,1.625,13,0.013204166,0.021242006,0.04546211
14,2,5,0.479836918,120,1.767071917,5,0.5,120,0.5,4.998854538,0.5,108.8615278,0.231933844,0.094126415,0.27304476,0.096934175,0.594453952,0.059716449,3.328,2.641,1.984,14,0.017774573,0.027025841,0.051323637
15,2,4.593221631,0.5,120,1.756563778,4.668361595,0.5,111.4008258,0.659847373,4.899285048,0.5,120,0.241377417,0.098346858,0.26952911,0.096201196,0.622859463,0.08285358,2.625,3.032,2.531,15,0.022727925,0.027369295,0.051323637
16,1.809734986,4.603484571,0.5,120,1.209859317,1.767262369,0.238193941,40.35914543,0.797701202,4.888239713,0.5,120,0.274736555,0.101253895,0,1.17E-08,0.52060582,0.083751112,2.984,1.531,3.235,16,0.024480096,0.027369295,0.056192843
17,1.647803227,4.742494486,0.5,120,1.990682664,3.957709283,0.469895386,104.7910474,0.743820439,5,0.4614838,120,0.293161237,0.097907885,0.195610824,0.082184351,0.521285283,0.07940335,4.156,1.438,2.969,17,0.026821756,0.027369295,0.058996317
18,1.470694366,4.808498578,0.5,120,1.877067765,4.625258397,0.5,120,0.741653515,4.691674229,0.5,120,0.32978833,0.098080332,0.267081755,0.102018487,0.521062181,0.078460968,3.656,1.86,2.078,18,0.029283978,0.027369295,0.058996317
19,1.180490277,4.985946283,0.5,120,1.573827265,4.738369041,0.5,120,0.5,5,0.5,120,0.400719285,0.095082142,0.302412215,0.096476956,0.666299046,0.066931112,3.891,2.094,1.094,19,0.032378205,0.027574218,0.059029181
20,0.89002407,5,0.5,120,1.418441382,4.818028946,0.5,120,0.790050894,5,0.5,120,0.498648605,0.08916311,0.334028245,0.095780534,0.519925343,0.08252488,3.453,2.64,1.329,20,0.038981082,0.030349406,0.059029181
21,0.554787755,5,0.5,120,1.086178497,4.907484736,0.5,120,0.5,5,0.5,120,0.651321974,0.072595791,0.420302328,0.09200667,0.754629029,0.075804041,3.5,2.891,1.204,21,0.047686781,0.033266425,0.059214715
22,0.5,5,0.5,120,0.648175941,5,0.5,120,0.5,5,0.1,30,0.717557997,0.072080179,0.610368566,0.079482938,0.000600024,7.50E-05,3.922,2.375,1.688,22,0.061218088,0.041155183,0.059214715
23,0.5,4.237115387,0.5,120,0.5,5,0.5,120,0.868774691,5,0.5,120,0.622357922,0.064180935,0.723689758,0.072696127,0.496994884,0.086745694,3.891,2.844,1.86,23,0.064111618,0.056542386,0.059214715
24,0.714389365,5,0.5,120,0.827641216,4.987424736,0.5,120,1.022078198,5,0.5,120,0.560579972,0.08045655,0.52388008,0.087146202,0.434372881,0.089194007,3.953,2.906,1.766,24,0.064111618,0.063767665,0.060403062
25,0.5,5,0.465544948,120,0.5,4.726707943,0.5,120,1.175632408,5,0.5,120,0.645111396,0.065919911,0.681477451,0.069097505,0.401278267,0.094777671,3.953,2.797,1.562,25,0.064737149,0.064424726,0.061982452
26,0.5,5,0.5,107.2247225,0.5,5,0.5,109.4220762,1.407935288,5,0.5,120,0.608976477,0.061172942,0.601335302,0.06040537,0.332929508,0.094172441,3.844,2.891,1.109,26,0.064737149,0.064424726,0.062988113
27,1.777344313,4.358293476,0.5,120,1.183952402,5,0.5,120,1.382212153,5,0.462068427,120,0.279957757,0.102194577,0.408192527,0.097093049,0.309073473,0.087458982,2.843,2.032,1.391,27,0.064737149,0.064424726,0.063851027
28,1.796266906,4.008516129,0.5,120,0.944872432,5,0.5,120,0.5,5,0.5,120,0.261151841,0.097529738,0.465129112,0.088294885,0.684557602,0.068765222,2.625,2.078,1.359,28,0.064738307,0.064526149,0.063851027
29,1.80304681,4.46951285,0.5,113.6856991,2,4.552432952,0.5,120,1.291262869,5,0.5,120,0.260308899,0.096025171,0.230584722,0.094081709,0.370752883,0.096180725,2.438,2.421,1.5,29,0.064738307,0.064687135,0.063851027
30,1.307470507,4.804184959,0.5,120,1.727766246,4.779334791,0.5,120,1.341038491,4.526496476,0.5,120,0.373997794,0.098898393,0.277750659,0.097139916,0.360537087,0.098724448,2.875,5.063,1.562,30,0.064738307,0.064820388,0.063888607
31,1.898506967,2.241809994,0.409730313,109.8706178,0.839975627,2.557016887,0.496828455,112.5480427,1.402192366,4.267588789,0.5,120,0.109375455,0.047471521,0.284314309,0.052381956,0.33402704,0.096499174,2.281,1.766,1.516,31,0.064783116,0.064824426,0.063888607
32,0.819165233,3.894603282,0.495701073,119.0710851,1.020468519,5,0.5,120,1.297657647,4.470614689,0.5,120,0.435083612,0.074536621,0.447445367,0.091733607,0.338897215,0.089970605,2.297,2.204,1.766,32,0.064783116,0.064824426,0.063888607
33,1.935285404,4.467700247,0.217825576,115.8080276,1.658281596,5,0.5,120,1.588461696,4.480373415,0.5,120,0.087715197,0.039966075,0.285654904,0.095167533,0.302466626,0.098260753,2.313,2.328,1.469,33,0.064783116,0.064862758,0.063888607
34,0.63289233,5,0.5,120,1.738096566,4.523609781,0.5,120,1.769407562,4.296377027,0.5,120,0.624799143,0.079443634,0.269509137,0.095658644,0.26958825,0.098181064,2.735,4,1.547,34,0.064783116,0.064868352,0.064210193
35,1.574132834,1.630376518,0.405770358,53.79346856,1.783724608,4.767323846,0.5,120,1.720139415,4.490397923,0.5,120,0.006435742,0.002364627,0.280835974,0.101441769,0.279602834,0.098328751,1.937,2.484,1.516,35,0.06497357,0.064869478,0.064511904
36,1.174729307,4.702078544,0.467435296,119.516442,0.5,5,0.5,120,1.897265961,3.77597954,0.5,120,0.355239557,0.086031577,0.667567712,0.067058552,0.238745732,0.094951734,2.047,2.64,1.547,36,0.06497357,0.064872396,0.064520949
37,0.819302802,1.097746182,0.21431903,106.8140886,0.738496825,5,0.5,120,1.710706699,4.481328095,0.5,120,0.002932181,0.000601311,0.572950657,0.085007002,0.281952449,0.098642249,2.109,2.891,1.406,37,0.06497357,0.064872396,0.064520949
38,0.83892753,4.006193832,0.171786464,53.65416317,1.849981596,4.905385765,0.5,120,1.753941758,4.427005137,0.5,112.3670925,0.011009365,0.002243827,0.270422455,0.100831806,0.263479641,0.094687054,2.093,1.89,2.266,38,0.06497357,0.06503396,0.064522096
39,1.728633384,4.516914388,0.5,120,1.889192498,5,0.5,120,1.808831209,4.56574612,0.5,120,0.285219686,0.100707001,0.254565648,0.096619516,0.260645585,0.096137678,2.343,2.156,1.812,39,0.06497357,0.06503472,0.064522096
40,1.830902759,3.469417859,0.491270798,116.9861856,1.31090502,5,0.5,120,1.650910362,4.331846383,0.5,120,0.215335888,0.083853435,0.354784092,0.093438146,0.289403079,0.098217664,2.328,2.171,1.109,40,0.064977382,0.06503472,0.06463067
41,0.701127531,2.439421799,0.454924801,38.24450349,1.816940565,4.73425402,0.5,120,1.650710248,4.327163599,0.5,120,0.032328144,0.005067223,0.26941853,0.099242263,0.286201725,0.09713523,2.375,2.5,1.703,41,0.064977382,0.065074734,0.064632559
42,1.015866228,4.678775571,0.477511021,118.8381095,1.817826445,4.727291718,0.5,120,0.5,5,0.5,120,0.408950918,0.085296161,0.268086296,0.098823266,0.718324039,0.07215713,2.219,2.515,1.704,42,0.064977382,0.065075475,0.064632559
43,1.259272719,2.190620985,0.204349178,62.06022014,1.818218906,4.726065446,0.5,120,1.654953308,4.373908572,0.5,120,0.002735566,0.000848588,0.257704716,0.095020864,0.289192997,0.098243036,2.391,2.39,1.672,43,0.064977382,0.065075547,0.064632559
44,1.605464462,3.572578382,0.281542599,53.34774971,0.882171255,5,0.5,120,1.655503869,4.36905924,0.5,120,0.027787546,0.010358678,0.51802898,0.09181123,0.291344436,0.09902351,2.516,1.968,1.64,44,0.064977382,0.065075568,0.064633273
45,1.924910581,2.72000109,0.248728339,103.517658,1.81508122,4.784932707,0.5,120,0.5,5,0.5,120,0.054091028,0.024965975,0.281534528,0.10341943,0.728226402,0.073151843,2.469,4.016,1.187,45,0.064977382,0.065115255,0.064633273
46,0.680439898,4.796462178,0.270474286,117.3094894,1.827413597,4.81549108,0.5,120,0.5,5,0.5,120,0.222145308,0.034377613,0.264019017,0.097542171,0.727496603,0.073078533,1.844,2.344,1.844,46,0.064977382,0.065115334,0.064633273
47,1.708611197,1.393235054,0.356468215,65.43803441,1.818298151,4.783204029,0.5,120,1.391448215,4.851790171,0.484166616,112.2755814,0.008965762,0.003655061,0.264688886,0.09740941,0.318896231,0.090290191,1.797,2.86,0.906,47,0.064977382,0.065115334,0.064633273
48,1.393562709,3.02300499,0.419685471,72.19882529,1.813810162,4.773907408,0.5,120,1.648159813,4.380824172,0.5,120,0.091121662,0.028217393,0.268994244,0.098780943,0.300057258,0.101490981,1.937,2.781,1.672,48,0.064977382,0.065115336,0.064633273
49,1.274426281,1.694931719,0.475397848,100.5140339,1.198339594,4.56779656,0.5,120,0.576936359,5,0.5,120,0.083530482,0.024272558,0.39448125,0.096387514,0.638757111,0.074037629,2.078,2.421,1.438,49,0.064977382,0.06511535,0.064633653
50,1.756404374,4.915608544,0.132956626,78.71033443,0.5,5,0.5,120,1.644498771,4.34048709,0.5,120,0.018756004,0.008084003,0.692984111,0.069611682,0.296404481,0.100173031,1.953,2.468,1.219,50,0.064977382,0.06511535,0.064903971
51,1.699597316,2.575314097,0.265616472,86.44462704,1.797138594,4.685843941,0.5,120,1.644295332,4.300990969,0.5,120,0.040358262,0.016386977,0.274109563,0.100035873,0.30297921,0.102523116,1.843,2.625,1.968,51,0.064977382,0.06511535,0.064903971
52,1.462647906,4.918890558,0.494354036,115.4447224,1.794385048,4.667259929,0.5,120,1.641585517,4.199280061,0.5,120,0.320151205,0.094597551,0.273771917,0.099823284,0.288979707,0.097971617,1.921,2.844,1.062,52,0.064977382,0.065115522,0.064903971
53,1.739627739,3.8232584,0.421181296,43.68100723,0.692196504,4.98036895,0.5,120,0.834081974,1.95104878,0.260975256,98.75953392,0.040837953,0.015387649,0.55417441,0.07711778,0.039571604,0.008005048,1.75,4.64,0.953,53,0.064977382,0.065115544,0.064903971
54,1.592580485,1.012109544,0.22268726,52.45381647,1.786712937,4.652547821,0.5,120,1.149508984,3.45006733,0.202210237,91.57078369,0.006888568,0.002743908,0.266163683,0.096683096,0.02654684,0.007366662,1.781,3.187,1.047,54,0.064977382,0.065158065,0.064903971
